price	bus_min	walk_min	shikirei	area	years	floor	ac	closet	flooring	balcony	train_min	num_exchange	num_stations	train_fare	km	station
67000	0	10	4	16.75	10	0	0	1	0	1	6	2	0	160	4.9	shimo_kitazawa
67500	0	10	4	18.64	15	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
70000	0	7	3	20	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
73000	0	10	4	18.52	15	1	0	1	0	1	6	2	0	160	4.9	shimo_kitazawa
73000	0	8	3	19	7	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
76000	0	7	4	17.39	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
77000	0	4	3	19.49	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
78000	0	7	4	21.77	3	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
85000	0	6	4	24.51	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
85000	0	6	4	21	0	1	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
88000	0	4	4	20.16	1	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
120000	0	3	4	14	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	7	4	20	3	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
84000	0	5	3	23.72	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
60000	0	9	4	15.11	11	1	1	0	0	1	8	1	1	160	5.6	setagaya_daita
65000	0	4	4	16.64	9	1	0	1	0	1	8	1	1	160	5.6	setagaya_daita
68000	0	9	4	13.5	10	1	1	0	0	1	8	1	1	160	5.6	setagaya_daita
73000	0	5	4	17.6	0	0	1	0	1	0	8	1	1	160	5.6	setagaya_daita
75000	0	1	4	16	2	0	1	1	1	0	8	1	1	160	5.6	setagaya_daita
68000	0	9	3	13.5	10	1	1	0	0	1	8	1	1	160	5.6	setagaya_daita
76000	0	5	4	17.62	4	1	1	1	0	1	8	1	1	160	5.6	setagaya_daita
65000	0	9	3	13.5	10	1	1	0	0	1	8	1	1	160	5.6	setagaya_daita
67000	0	10	4	16.29	4	1	1	1	1	1	8	1	1	160	5.6	setagaya_daita
73000	0	2	4	15.67	8	1	0	1	0	1	8	1	1	160	5.6	setagaya_daita
75000	0	2	4	27.08	1	0	1	1	1	1	8	1	1	160	5.6	setagaya_daita
91000	0	3	3	30.88	9	1	0	0	0	1	8	1	1	160	5.6	setagaya_daita
74000	0	6	4	19.87	3	0	1	1	1	1	8	1	1	160	5.6	setagaya_daita
74000	0	6	4	19.87	3	1	1	1	1	1	8	1	1	160	5.6	setagaya_daita
72000	0	1	4	17.64	9	1	0	1	0	1	10	1	2	180	6.3	umegaoka
76000	0	1	4	17.5	10	1	1	1	0	1	10	1	2	180	6.3	umegaoka
78000	0	4	4	19.87	0	0	1	0	0	0	10	1	2	180	6.3	umegaoka
82000	0	3	4	20	0	1	1	1	1	0	10	1	2	180	6.3	umegaoka
95000	0	3	4	23	0	1	1	1	1	1	10	1	2	180	6.3	umegaoka
